Population by language spoken most often and regularly at home													
													
Geocode	Geographic name	CMA/CA type	Age	Other language spoken regularly at home[2]	Language spoken most often at home[1] - Total	Language spoken most often at home[1] - English	Language spoken most often at home[1] - French	Language spoken most often at home[1] - Non-official language	Language spoken most often at home[1] - English and French	Language spoken most often at home[1] - English and non-official language	Language spoken most often at home[1] - French and non-official language	"Language spoken most often at home[1] - English, French and non-offical language"	   
001	St. John's	CMA	1	Total	194935	191490	350	2265	125	665	10	30	   
001	St. John's	CMA	2	Total	31200	30595	85	365	40	100	0	10	   
001	St. John's	CMA	3	Total	10710	10435	30	170	10	50	0	5	   
001	St. John's	CMA	4	Total	10215	10035	30	100	20	25	0	5	   
001	St. John's	CMA	5	Total	10275	10125	20	95	5	20	0	0	   
001	St. John's	CMA	6	Total	140175	137570	240	1745	80	520	5	15	   
001	St. John's	CMA	7	Total	26480	25835	25	465	25	120	0	0	   
001	St. John's	CMA	8	Total	11295	11125	15	105	10	35	0	0	   
001	St. John's	CMA	9	Total	15185	14715	15	360	15	85	0	0	   
001	St. John's	CMA	10	Total	57070	55795	110	855	40	260	0	5	   
001	St. John's	CMA	11	Total	56630	55935	105	425	15	135	5	5	   
001	St. John's	CMA	12	Total	23565	23330	20	155	10	50	0	5	   
001	St. John's	CMA	13	Total	14450	14300	15	100	0	35	0	5	   
001	St. John's	CMA	14	Total	9110	9025	5	60	5	20	5	0	   
001	St. John's	CMA	1	None	190265	188135	180	1170	120	630	5	25	   
001	St. John's	CMA	2	None	30050	29675	45	185	35	90	5	10	   
001	St. John's	CMA	3	None	10485	10310	15	95	10	50	0	5	   
001	St. John's	CMA	4	None	9705	9595	15	45	20	25	0	5	   
001	St. John's	CMA	5	None	9860	9775	15	45	5	20	5	0	   
001	St. John's	CMA	6	None	136890	135290	120	905	70	490	0	15	   
001	St. John's	CMA	7	None	25685	25280	10	255	25	110	0	5	   
001	St. John's	CMA	8	None	11020	10905	5	65	10	35	0	5	   
001	St. John's	CMA	9	None	14660	14375	5	190	15	80	0	0	   
001	St. John's	CMA	10	None	55430	54665	50	430	30	245	5	10	   
001	St. John's	CMA	11	None	55780	55340	60	220	20	130	0	5	   
001	St. John's	CMA	12	None	23320	23170	15	85	10	45	0	0	   
001	St. John's	CMA	13	None	14280	14195	10	50	0	30	0	0	   
001	St. John's	CMA	14	None	9040	8975	5	35	5	15	0	0	   
001	St. John's	CMA	1	English	1160	0	155	1005	0	0	5	0	   
001	St. John's	CMA	2	English	205	0	35	170	0	0	0	0	   
001	St. John's	CMA	3	English	85	0	10	75	0	0	0	0	   
001	St. John's	CMA	4	English	70	0	15	55	0	0	0	0	   
001	St. John's	CMA	5	English	55	0	10	40	0	0	0	0	   
001	St. John's	CMA	6	English	890	0	115	770	0	0	5	0	   
001	St. John's	CMA	7	English	225	0	15	205	0	0	0	0	   
001	St. John's	CMA	8	English	45	0	10	35	0	0	0	0	   
001	St. John's	CMA	9	English	180	0	5	170	0	0	0	0	   
001	St. John's	CMA	10	English	445	0	55	385	0	0	0	0	   
001	St. John's	CMA	11	English	225	0	40	185	0	0	5	0	   
001	St. John's	CMA	12	English	65	0	5	55	0	0	5	0	   
001	St. John's	CMA	13	English	45	0	5	40	0	0	0	0	   
001	St. John's	CMA	14	English	20	0	0	20	0	0	0	0	   
001	St. John's	CMA	1	French	1545	1525	0	0	0	15	0	0	   
001	St. John's	CMA	2	French	660	655	0	0	0	5	0	0	   
001	St. John's	CMA	3	French	30	30	0	0	0	0	0	0	   
001	St. John's	CMA	4	French	345	340	0	0	0	5	0	0	   
001	St. John's	CMA	5	French	285	280	0	0	0	0	0	0	   
001	St. John's	CMA	6	French	850	840	0	0	0	10	0	0	   
001	St. John's	CMA	7	French	240	235	0	0	0	0	0	0	   
001	St. John's	CMA	8	French	130	130	0	5	0	0	0	0	   
001	St. John's	CMA	9	French	110	105	0	0	0	0	0	0	   
001	St. John's	CMA	10	French	415	410	0	5	0	5	0	0	   
001	St. John's	CMA	11	French	195	195	0	0	0	0	0	0	   
001	St. John's	CMA	12	French	35	40	0	0	0	0	0	0	   
001	St. John's	CMA	13	French	25	20	0	0	0	0	0	0	   
001	St. John's	CMA	14	French	15	15	0	0	0	0	0	0	   
001	St. John's	CMA	1	Non-official language	1860	1760	10	55	10	25	0	0	   
001	St. John's	CMA	2	Non-official language	270	260	0	10	0	0	0	0	   
001	St. John's	CMA	3	Non-official language	100	95	0	5	0	0	0	0	   
001	St. John's	CMA	4	Non-official language	100	95	0	5	0	0	0	0	   
001	St. John's	CMA	5	Non-official language	75	70	0	0	0	0	0	0	   
001	St. John's	CMA	6	Non-official language	1455	1385	10	40	10	15	0	0	   
001	St. John's	CMA	7	Non-official language	320	310	0	0	5	5	0	0	   
001	St. John's	CMA	8	Non-official language	85	90	0	0	0	0	0	0	   
001	St. John's	CMA	9	Non-official language	225	225	0	5	5	5	0	0	   
001	St. John's	CMA	10	Non-official language	740	695	5	25	5	10	0	0	   
001	St. John's	CMA	11	Non-official language	400	380	5	10	0	5	0	0	   
001	St. John's	CMA	12	Non-official language	130	115	0	10	0	5	0	0	   
001	St. John's	CMA	13	Non-official language	90	85	0	5	0	5	0	0	   
001	St. John's	CMA	14	Non-official language	35	30	0	5	0	0	0	0	   
001	St. John's	CMA	1	English and French	20	0	0	20	0	0	0	0	   
001	St. John's	CMA	2	English and French	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	3	English and French	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	4	English and French	5	0	0	0	0	0	0	0	   
001	St. John's	CMA	5	English and French	5	0	0	0	0	0	0	0	   
001	St. John's	CMA	6	English and French	10	0	0	15	0	0	0	0	   
001	St. John's	CMA	7	English and French	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	8	English and French	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	9	English and French	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	10	English and French	10	0	0	5	0	0	0	0	   
001	St. John's	CMA	11	English and French	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	12	English and French	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	13	English and French	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	14	English and French	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	1	English and non-official language	20	0	5	20	0	0	0	0	   
001	St. John's	CMA	2	English and non-official language	5	0	5	0	0	0	0	0	   
001	St. John's	CMA	3	English and non-official language	0	0	5	0	0	0	0	0	   
001	St. John's	CMA	4	English and non-official language	0	0	5	0	0	0	0	0	   
001	St. John's	CMA	5	English and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	6	English and non-official language	15	0	0	15	0	0	0	0	   
001	St. John's	CMA	7	English and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	8	English and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	9	English and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	10	English and non-official language	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	11	English and non-official language	10	0	0	10	0	0	0	0	   
001	St. John's	CMA	12	English and non-official language	10	0	5	5	0	0	0	0	   
001	St. John's	CMA	13	English and non-official language	5	0	0	5	0	0	0	0	   
001	St. John's	CMA	14	English and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	1	French and non-official language	70	65	0	5	0	0	0	0	   
001	St. John's	CMA	2	French and non-official language	5	5	0	0	0	0	0	0	   
001	St. John's	CMA	3	French and non-official language	5	5	0	0	0	0	0	0	   
001	St. John's	CMA	4	French and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	5	French and non-official language	0	5	0	0	0	0	0	0	   
001	St. John's	CMA	6	French and non-official language	60	55	0	0	0	0	0	0	   
001	St. John's	CMA	7	French and non-official language	15	10	0	0	0	0	0	0	   
001	St. John's	CMA	8	French and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	9	French and non-official language	10	10	0	0	0	5	0	0	   
001	St. John's	CMA	10	French and non-official language	30	25	0	5	0	0	0	0	   
001	St. John's	CMA	11	French and non-official language	20	20	0	0	0	0	0	0	   
001	St. John's	CMA	12	French and non-official language	5	5	0	0	0	0	0	0	   
001	St. John's	CMA	13	French and non-official language	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	14	French and non-official language	5	5	0	0	0	0	0	0	   
001	St. John's	CMA	1	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	2	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	3	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	4	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	5	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	6	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	7	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	8	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	9	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	10	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	11	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	12	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	13	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
001	St. John's	CMA	14	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	Total	10865	10830	15	10	0	5	0	0	   
005	Bay Roberts	CA	2	Total	1835	1830	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	Total	575	575	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	Total	615	620	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	Total	640	635	0	0	5	0	0	0	   
005	Bay Roberts	CA	6	Total	7325	7305	10	10	0	5	0	0	   
005	Bay Roberts	CA	7	Total	1160	1160	0	5	0	0	0	0	   
005	Bay Roberts	CA	8	Total	590	590	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	Total	570	570	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	Total	2675	2675	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	Total	3490	3475	5	10	0	0	0	0	   
005	Bay Roberts	CA	12	Total	1705	1690	5	0	0	5	0	0	   
005	Bay Roberts	CA	13	Total	1075	1070	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	Total	630	620	5	0	0	0	0	0	   
005	Bay Roberts	CA	1	None	10815	10785	15	5	5	0	0	0	   
005	Bay Roberts	CA	2	None	1825	1825	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	None	575	575	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	None	615	615	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	None	635	630	0	0	5	0	0	0	   
005	Bay Roberts	CA	6	None	7285	7270	5	5	0	0	0	0	   
005	Bay Roberts	CA	7	None	1160	1155	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	None	590	590	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	None	570	570	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	None	2660	2650	5	0	0	0	0	0	   
005	Bay Roberts	CA	11	None	3475	3465	0	5	0	0	0	0	   
005	Bay Roberts	CA	12	None	1705	1690	5	0	0	0	0	0	   
005	Bay Roberts	CA	13	None	1075	1070	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	None	625	620	5	0	0	5	0	0	   
005	Bay Roberts	CA	1	English	5	0	0	5	0	0	0	0	   
005	Bay Roberts	CA	2	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	English	10	0	0	5	0	0	0	0	   
005	Bay Roberts	CA	7	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	English	5	0	5	5	0	0	0	0	   
005	Bay Roberts	CA	12	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	English	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	French	25	30	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	French	5	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	French	10	10	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	French	20	20	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	French	5	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	French	15	15	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	French	5	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	Non-official language	20	15	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	Non-official language	0	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	Non-official language	15	15	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	Non-official language	0	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	Non-official language	10	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	Non-official language	5	5	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	Non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	English and French	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	English and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	French and non-official language	5	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	French and non-official language	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	1	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	2	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	3	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	4	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	5	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	6	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	7	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	8	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	9	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	10	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	11	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	12	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	13	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
005	Bay Roberts	CA	14	"English, French  and non-official language"	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	Total	13660	13570	15	50	0	20	0	0	   
010	Grand Falls-Windsor	CA	2	Total	2120	2115	5	5	5	0	0	0	   
010	Grand Falls-Windsor	CA	3	Total	690	680	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	Total	700	695	0	0	0	5	0	0	   
010	Grand Falls-Windsor	CA	5	Total	735	735	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	Total	9060	8995	10	35	0	15	0	0	   
010	Grand Falls-Windsor	CA	7	Total	1430	1425	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	Total	765	765	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	Total	665	660	0	5	0	5	0	0	   
010	Grand Falls-Windsor	CA	10	Total	3270	3230	5	25	0	10	0	0	   
010	Grand Falls-Windsor	CA	11	Total	4365	4335	10	15	0	0	5	0	   
010	Grand Falls-Windsor	CA	12	Total	2475	2465	5	10	0	5	0	0	   
010	Grand Falls-Windsor	CA	13	Total	1450	1440	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	Total	1030	1020	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	None	13530	13455	10	40	0	20	0	0	   
010	Grand Falls-Windsor	CA	2	None	2075	2070	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	None	680	680	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	None	675	670	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	None	715	720	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	None	8980	8935	10	30	0	10	0	0	   
010	Grand Falls-Windsor	CA	7	None	1415	1410	0	0	0	5	0	0	   
010	Grand Falls-Windsor	CA	8	None	755	755	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	None	660	655	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	None	3230	3205	0	20	0	10	0	0	   
010	Grand Falls-Windsor	CA	11	None	4330	4315	10	5	0	5	5	0	   
010	Grand Falls-Windsor	CA	12	None	2475	2460	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	None	1440	1435	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	None	1030	1025	5	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	English	20	0	5	15	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	English	20	0	5	10	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	English	10	0	0	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	11	English	10	0	5	5	0	0	0	0	   
010	Grand Falls-Windsor	CA	12	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	English	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	French	55	60	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	French	30	30	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	French	20	15	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	French	10	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	French	30	25	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	French	5	10	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	French	5	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	French	5	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	French	15	15	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	11	French	5	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	12	French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	Non-official language	55	55	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	Non-official language	15	20	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	Non-official language	0	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	Non-official language	5	10	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	Non-official language	5	10	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	Non-official language	35	35	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	Non-official language	5	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	Non-official language	0	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	Non-official language	0	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	Non-official language	15	15	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	11	Non-official language	15	15	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	12	Non-official language	5	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	Non-official language	0	5	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	Non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	11	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	12	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	English and French	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	8	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	9	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	10	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	11	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	12	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	13	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	14	English and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	1	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	2	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	3	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	4	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	5	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	6	French and non-official language	0	0	0	0	0	0	0	0	   
010	Grand Falls-Windsor	CA	7	French and non-official language	0	0	0	0	0	0	0	0	   
